CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20200901,밝은 분홍색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,에이치엘비제약(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,씨트케어정10밀리그램(솔리페나신숙신산염),20190404,201902069,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20200901,밝은 노란색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,에이치엘비제약(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,씨트케어정5밀리그램(솔리페나신숙신산염),20190404,201902070,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20240522,흰색의 원형 필름코팅정,01140,해열.진통.소염제,건일바이오팜주식회사,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세팜정100밀리그램(아세클로페낙),20190408,201902130,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,(주)동구바이오제약,전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,에어페낙CR정(아세클로페낙),20190411,201902220,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅정,01140,해열.진통.소염제,(주)보령바이오파마,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세로탈정100밀리그램(아세클로페낙),20190423,201902538,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,진양제약(주),전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아엔탈CR정(아세클로페낙),20190430,201902818,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,(주)한국피엠지제약,전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세민CR정(아세클로페낙),20190430,201902819,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,성원애드콕제약(주),전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세날CR정(아세클로페낙),20190430,201902821,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,구주제약(주),전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세론CR정(아세클로페낙),20190507,201902910,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,건일바이오팜주식회사,전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세팜CR정(아세클로페낙),20190507,201902911,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,이연제약(주),전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아크로CR정(아세클로페낙),20190509,201903016,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,(주)새한제약,전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아크로날CR정(아세클로페낙),20190509,201903018,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅정제,01140,해열.진통.소염제,독립바이오제약(주),전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,독립아세클로페낙정,20190528,201903453,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
